country_1_name,country_1_id,country_2_name,country_2_id,any_wars
Cuba,40,China,710,No
Cuba,40,Mongolia,712,No
Cuba,40,Taiwan,713,No
Cuba,40,North Korea,731,No
Cuba,40,South Korea,732,No
Cuba,40,Japan,740,No
Cuba,40,India,750,No
Cuba,40,Bhutan,760,No
Cuba,40,Pakistan,770,No
Cuba,40,Bangladesh,771,No
Cuba,40,Myanmar (Burma),775,No
Cuba,40,Sri Lanka,780,No
Cuba,40,Nepal,790,No
Cuba,40,Thailand,800,No
Cuba,40,Cambodia,811,No
Cuba,40,Laos,812,No
Cuba,40,Vietnam,816,No
Cuba,40,Malaysia,820,No
Cuba,40,Singapore,830,No
Cuba,40,Philippines,840,No
Cuba,40,Indonesia,850,No
Cuba,40,Australia,900,No
Cuba,40,Papua New Guinea,910,No
Cuba,40,New Zealand,920,No
Cuba,40,Solomon Islands,940,No
Cuba,40,Fiji,950,No
Haiti,41,Dominican Republic,42,No
Haiti,41,Jamaica,51,No
Haiti,41,Trinidad & Tobago,52,No
Haiti,41,Mexico,70,No
Haiti,41,Guatemala,90,No
Haiti,41,Honduras,91,No
Haiti,41,El Salvador,92,No
Haiti,41,Nicaragua,93,No
Haiti,41,Costa Rica,94,No
Haiti,41,Panama,95,No
Haiti,41,Colombia,100,No
Haiti,41,Venezuela,101,No
Haiti,41,Guyana,110,No
Haiti,41,Suriname,115,No
Haiti,41,Ecuador,130,No
Haiti,41,Peru,135,No
Haiti,41,Brazil,140,No
Haiti,41,Bolivia,145,No
Haiti,41,Paraguay,150,No
Haiti,41,Chile,155,No
Haiti,41,Argentina,160,No
Haiti,41,Uruguay,165,No
Haiti,41,United Kingdom,200,No
Haiti,41,Ireland,205,No
Haiti,41,Netherlands,210,No
Haiti,41,Belgium,211,No
Haiti,41,Luxembourg,212,No
Haiti,41,France,220,No
Haiti,41,Switzerland,225,No
Haiti,41,Spain,230,No
Haiti,41,Portugal,235,No
Haiti,41,Poland,290,No
Haiti,41,Austria,305,No
Haiti,41,Hungary,310,No
Haiti,41,Italy,325,No
Haiti,41,Albania,339,No
Haiti,41,Yugoslavia,345,No
Haiti,41,Greece,350,No
Haiti,41,Cyprus,352,No
Haiti,41,Bulgaria,355,No
Haiti,41,Romania,360,No
Haiti,41,Russia,365,No
Haiti,41,Finland,375,No
Haiti,41,Sweden,380,No
Haiti,41,Norway,385,No
Haiti,41,Denmark,390,No
Haiti,41,Cape Verde,402,No
Haiti,41,Guinea-Bissau,404,No
Haiti,41,Equatorial Guinea,411,No
Haiti,41,Gambia,420,No
Haiti,41,Mali,432,No
Haiti,41,Senegal,433,No
Haiti,41,Benin,434,No
Haiti,41,Mauritania,435,No
Haiti,41,Niger,436,No
Haiti,41,Côte d’Ivoire,437,No
Haiti,41,Guinea,438,No
Haiti,41,Burkina Faso,439,No
Haiti,41,Liberia,450,No
Haiti,41,Sierra Leone,451,No
Haiti,41,Ghana,452,No
Haiti,41,Togo,461,No
Haiti,41,Cameroon,471,No
Haiti,41,Nigeria,475,No
Haiti,41,Gabon,481,No
Haiti,41,Central African Republic,482,No
Haiti,41,Chad,483,No
Haiti,41,Congo - Brazzaville,484,No
Haiti,41,Congo - Kinshasa,490,No
Haiti,41,Uganda,500,No
Haiti,41,Kenya,501,No
Haiti,41,Tanzania,510,No
Haiti,41,Burundi,516,No
Haiti,41,Rwanda,517,No
Haiti,41,Somalia,520,No
Haiti,41,Djibouti,522,No
Haiti,41,Ethiopia,530,No
Haiti,41,Angola,540,No
Haiti,41,Mozambique,541,No
Haiti,41,Zambia,551,No
Haiti,41,Zimbabwe,552,No
Haiti,41,Malawi,553,No
Haiti,41,South Africa,560,No
Haiti,41,Lesotho,570,No
Haiti,41,Botswana,571,No
Haiti,41,Eswatini,572,No
Haiti,41,Madagascar,580,No
Haiti,41,Comoros,581,No
